x,Contralateral,Ipsilateral
579.171,5.7296,5.7226
579.172,5.7295,5.7226
583.324,5.5911,5.5894
584.634,5.5542,5.5464
587.258,5.4963,5.4631
590.97,5.4371,5.3578
592.48,5.42,5.3199
593.809,5.4089,5.2806
596.873,5.3971,5.1546
599.436,5.3972,5.0466
